comment_id,text,author,likes_count,published_at,updated_at,reply_count,is_reply,parent_id,video_id,source
Ugz8S7SfF8kmpD08aSx4AaABAg,Wahai prabowo! Selama ada mbg.. Byk siswa keracunan sampai ada yg meninggal d brngkulu utara pak,@UliRauf,5,2026-03-21T03:42:17Z,2026-03-21T03:42:17Z,2,False,,S4iey1sr1Cg,youtube
Ugz8S7SfF8kmpD08aSx4AaABAg.AUawff6QO05AUdNE4-5qXG,Meninggal karna MbG? Yok kesini aja langsung dripada makan berita bohong terus,@RezaRenaldi-z9x,0,2026-03-22T02:21:31Z,2026-03-22T02:21:31Z,0,True,Ugz8S7SfF8kmpD08aSx4AaABAg,S4iey1sr1Cg,youtube
Ugz8S7SfF8kmpD08aSx4AaABAg.AUawff6QO05AUdmMti9f2s,"Hp aja yg smart, otak kagak..",@WindiAstria-o1n,0,2026-03-22T06:09:55Z,2026-03-22T06:09:55Z,0,True,Ugz8S7SfF8kmpD08aSx4AaABAg,S4iey1sr1Cg,youtube
UgymGwZKV6HMf1Mivld4AaABAg,"Saya sangat setuju dengan pak Prabowo...
Tetap pertahankan program MBG",@HadiafyudinHadi,8,2026-03-23T00:28:18Z,2026-03-23T00:28:18Z,5,False,,S4iey1sr1Cg,youtube
UgymGwZKV6HMf1Mivld4AaABAg.AUfk3h2gEhuAUforvDiKJw,"kurleb 1triliun perhari, GADA URGENSI NYA, MSH BNYK YG GBSA SKOLAH KRNA BIAYA, MSH BNYK RKYAY MISKIN, MASIH BNYK HUTANG, BNYK KRACUNAN, PMMPIN EGOIS, MBG MBG MBG SAWIT SAWIT SAWIT, KTIKA AD BNCANA TDK DIANGGAP BNCNA NASIONAL SMPAI SKRG TRSNGKANYA AJA GADA, KRNA APA KRNA PRESIDEN SNDIRI YG MRUSAK ALAM UNTK SAWIT, INGTKAH UCPANNYA UNTK MMBNGUN SAWIT DI PAPUA, BUKANKAH AKAN MENGHILANGKAN HABITAT ASAL HUTAN... PIKIRRR BUAT SIAPA ITU MBG, BRP JUTA ORG, LALU SISANYA DIKASIH APA",@samkagoya1923,2,2026-03-23T01:10:15Z,2026-03-23T01:10:15Z,0,True,UgymGwZKV6HMf1Mivld4AaABAg,S4iey1sr1Cg,youtube
UgymGwZKV6HMf1Mivld4AaABAg.AUfk3h2gEhuAUfqWFCW2W0,Jelaskan kenapa anda mendukung?,@fitrianggraeni6296,1,2026-03-23T01:24:38Z,2026-03-23T01:24:38Z,0,True,UgymGwZKV6HMf1Mivld4AaABAg,S4iey1sr1Cg,youtube
UgymGwZKV6HMf1Mivld4AaABAg.AUfk3h2gEhuAUfrUOa7kHZ,Bahlul,@khoirulhuda3060,0,2026-03-23T01:33:07Z,2026-03-23T01:33:07Z,0,True,UgymGwZKV6HMf1Mivld4AaABAg,S4iey1sr1Cg,youtube
UgymGwZKV6HMf1Mivld4AaABAg.AUfk3h2gEhuAUfvOHLMVnT,​@fitrianggraeni6296mungkin beliau tkg cuci ompreng mbg nya bro,@redszoneid6150,0,2026-03-23T02:07:14Z,2026-03-23T02:07:14Z,0,True,UgymGwZKV6HMf1Mivld4AaABAg,S4iey1sr1Cg,youtube
UgymGwZKV6HMf1Mivld4AaABAg.AUfk3h2gEhuAUg1W8QZXrj,"​@redszoneid6150bisa jd

Gw sbg ortu yg anak nya pernah pjj krn cuaca ekstrim tp malah suruh ambil MBG ke sekolah. Gw tanya menu nya ""bubur kacang ijo sama roti""

Langsung ""ga usah, ga worth sama cuaca, nembus hujan demi burjo"" ibu bisa kasih lbh enak dari MBG",@fitrianggraeni6296,0,2026-03-23T03:09:28Z,2026-03-23T03:09:28Z,0,True,UgymGwZKV6HMf1Mivld4AaABAg,S4iey1sr1Cg,youtube
UgxBuAliHPbxdp7CkSZ4AaABAg,Poko nya 2029 jangan nyampe pilih dia lagi,@djun2626,8,2026-03-21T05:44:34Z,2026-03-21T05:44:34Z,6,False,,S4iey1sr1Cg,youtube
UgxBuAliHPbxdp7CkSZ4AaABAg.AUb9fMAdwNrAUbW-YKgkxw,Terus milih Anis apa ganjar,@anakadam9498,0,2026-03-21T08:59:42Z,2026-03-21T08:59:42Z,0,True,UgxBuAliHPbxdp7CkSZ4AaABAg,S4iey1sr1Cg,youtube
UgxBuAliHPbxdp7CkSZ4AaABAg.AUb9fMAdwNrAUb_7PS8XP6,Setuju banget,@MatMuhamay,0,2026-03-21T09:35:44Z,2026-03-21T09:35:44Z,0,True,UgxBuAliHPbxdp7CkSZ4AaABAg,S4iey1sr1Cg,youtube
UgxBuAliHPbxdp7CkSZ4AaABAg.AUb9fMAdwNrAUb_Bo8LJaj,Yg penting yg punya MBG itu yg kita pilih,@MatMuhamay,0,2026-03-21T09:36:20Z,2026-03-21T09:36:20Z,0,True,UgxBuAliHPbxdp7CkSZ4AaABAg,S4iey1sr1Cg,youtube
UgxBuAliHPbxdp7CkSZ4AaABAg.AUb9fMAdwNrAUc5lWazxK5,​​@anakadam9498kaya nya nunggu kandidat yg lain 😂,@djun2626,0,2026-03-21T14:29:42Z,2026-03-21T14:30:02Z,0,True,UgxBuAliHPbxdp7CkSZ4AaABAg,S4iey1sr1Cg,youtube
UgxBuAliHPbxdp7CkSZ4AaABAg.AUb9fMAdwNrAUfj3AsAxR7,"​@anakadam9498 dikit dikit ganjar anis ... kandidat lain masih ada woi
.... yg penting g ada nama prabowo... hahaha",@putranuy4984,0,2026-03-23T00:19:30Z,2026-03-23T00:19:30Z,0,True,UgxBuAliHPbxdp7CkSZ4AaABAg,S4iey1sr1Cg,youtube
UgyD-9M8PXfdrFUm-nd4AaABAg,MBG kacau pa... Tolong lah bapak cek ke lapangan jangan sampai di lanjutkan itu... Menu nya ga sesuai,@indrapurmaya-x7q,12,2026-03-21T05:48:43Z,2026-03-21T05:48:43Z,2,False,,S4iey1sr1Cg,youtube
UgyD-9M8PXfdrFUm-nd4AaABAg.AUbA8m0jjHrAUd6n8g6k-K,10rb berharap dpt makan bergizi yg gmn bro...blm LG roti seribuan dihargai 2hingga3rb..kacau.. ruwet...eh dibawa pulang pulak m entah gmn nasibnya,@MujayanaYana-u5m,0,2026-03-21T23:57:54Z,2026-03-21T23:57:54Z,0,True,UgyD-9M8PXfdrFUm-nd4AaABAg,S4iey1sr1Cg,youtube
UgyD-9M8PXfdrFUm-nd4AaABAg.AUbA8m0jjHrAUdVYPIz9PT,Cek ke dapur dapur mas,@Dody123-t7y,0,2026-03-22T03:34:12Z,2026-03-22T03:34:12Z,0,True,UgyD-9M8PXfdrFUm-nd4AaABAg,S4iey1sr1Cg,youtube
