text,likesCount,is_spam,text_clean,text_normalized,text_final,text_length,text_word_count,clean_text_length,clean_text_word_count
"menarik, Bang @irwandiferry krn konteksnya ketahanan energi, perlu jg dibahas peran dana kutipan export sawit 50T/thn, yg digunakan u/ subsidi biodisel yang punya double impact :
- Hemat Devisa Negara dgn berkurangnya import solar,
- Efisiensi biaya logistik umumnya transp umum ( truck-bis) menggunakan biosolar dgn harga 6k yg harusnya tanpa subsidi sawit harga ekonominya 10k 🔥",3,False,"menarik, bang konteksnya ketahanan energi, dibahas peran dana kutipan export sawit t/thn, u/ subsidi biodisel double impact : - hemat devisa negara berkurangnya import solar, - efisiensi biaya logistik transp ( truck-bis) biosolar harga k subsidi sawit harga ekonominya k","menarik, bang karena konteksnya ketahanan energi, perlu juga dibahas peran dana kutipan export sawit t/thn, yg digunakan u/ subsidi biodisel yang punya double impact : - hemat devisa negara dengan berkurangnya import solar, - efisiensi biaya logistik umumnya transp umum ( truck-bis) menggunakan biosolar dengan harga k yg harusnya tanpa subsidi sawit harga ekonominya k","menarik, bang konteksnya ketahanan energi, dibahas peran dana kutipan export sawit t/thn, u/ subsidi biodisel double impact : - hemat devisa negara berkurangnya import solar, - efisiensi biaya logistik transp ( truck-bis) biosolar harga k subsidi sawit harga ekonominya k",380,57,271,40
"Pertanyaannya sederhana, apakah tidak ada pejabat pemerintah disana tidak bisa menghitung seperti utas ini? Tentu saja tidak mungkin dong. Pasti mereka tau, mengerti dan paham akan hitung2an seperti ini. Selanjutnya tinggal seperti apa strategi yang akan ditempuh pemerinah?",0,False,"pertanyaannya sederhana, pejabat pemerintah disana menghitung utas ini? dong. tau, mengerti paham hitung an ini. tinggal strategi ditempuh pemerinah?","pertanyaannya sederhana, apakah tidak ada pejabat pemerintah disana tidak bisa menghitung seperti utas ini? tentu saja tidak mungkin dong. pasti mereka tau, mengerti dan paham akan hitung an seperti ini. selanjutnya tinggal seperti apa strategi yang akan ditempuh pemerinah?","pertanyaannya sederhana, pejabat pemerintah disana menghitung utas ini? dong. tau, mengerti paham hitung an ini. tinggal strategi ditempuh pemerinah?",274,38,149,19
"Mohon izin bapak presiden dan jajarannya @prabowo @tedsky89 🙏🏻 Coba ketika membuat program itu dikaji lebih dalam dampaknya dari segala sisi. Undang para ekonom, para ahli, akademisi. Bukan kita pesimis, tapi harus realistis negara ini masih berkembang. Berikan MBG di wilayah yang benar-benar perlu. PR dan kebutuhan negara ini masih banyak loh 🥹🥹",12,False,"mohon izin presiden jajarannya coba program dikaji dampaknya sisi. undang ekonom, ahli, akademisi. pesimis, realistis negara berkembang. makan bergizi gratis wilayah benar-benar perlu. pr kebutuhan negara loh 🥹🥹","mohon izin bapak presiden dan jajarannya coba ketika membuat program itu dikaji lebih dalam dampaknya dari segala sisi. undang para ekonom, para ahli, akademisi. bukan kita pesimis, tapi harus realistis negara ini masih berkembang. berikan makan bergizi gratis di wilayah yang benar-benar perlu. pr dan kebutuhan negara ini masih banyak loh 🥹🥹","mohon izin presiden jajarannya coba program dikaji dampaknya sisi. undang ekonom, ahli, akademisi. pesimis, realistis negara berkembang. makan bergizi gratis wilayah benar-benar perlu. pr kebutuhan negara loh 🥹🥹",348,53,211,28
Lebih kurang sama kayak anggaran MBG 1 tahun konsumsi BBM kita. Dalam setahun 🌚,1,False,kayak anggaran makan bergizi gratis konsumsi bahan bakar minyak kita. setahun,lebih kurang sama kayak anggaran makan bergizi gratis tahun konsumsi bahan bakar minyak kita. dalam setahun,kayak anggaran makan bergizi gratis konsumsi bahan bakar minyak kita. setahun,79,14,77,11
Selamatkan diri anda masing2 kawan.. Negara ini terlalu rusak dan gabisa dibenerin,2,False,selamatkan kawan.. negara rusak gabisa dibenerin,selamatkan diri anda masing kawan.. negara ini terlalu rusak dan gabisa dibenerin,selamatkan kawan.. negara rusak gabisa dibenerin,82,12,48,6
Gak nyantumin solusi pak prabowo buat pergi ke LN minta ke trump stop perang om @irwandiferry ?😂,1,False,nyantumin solusi prabowo pergi ln trump stop perang ?,tidak nyantumin solusi pak prabowo buat pergi ke ln minta ke trump stop perang om ?,nyantumin solusi prabowo pergi ln trump stop perang ?,96,17,53,9
Thanks bang kontennya,2,False,thanks bang kontennya,thanks bang kontennya,thanks bang kontennya,21,3,21,3
Plis lah ternyata kalo pemimpin adalah orang close mindset ada analisis apapun tetap maunya programnya berjalan ya. Pokoknya harus dituruti kemauannya😭,1,False,plis pemimpin orang close mindset analisis apapun maunya programnya berjalan ya. pokoknya dituruti kemauannya,plis lah ternyata kalau pemimpin adalah orang close mindset ada analisis apapun tetap maunya programnya berjalan ya. pokoknya harus dituruti kemauannya,plis pemimpin orang close mindset analisis apapun maunya programnya berjalan ya. pokoknya dituruti kemauannya,151,21,109,14
Yok sedia payung sebelum hujan badai guys 🙌,44,False,yok sedia payung hujan badai guys,yok sedia payung sebelum hujan badai guys,yok sedia payung hujan badai guys,43,8,33,6
"Setelah ketikan panjang lebar, mbg akan tetap dibagikan saat libur 😂",3,False,"ketikan lebar, makan bergizi gratis dibagikan libur","setelah ketikan panjang lebar, makan bergizi gratis akan tetap dibagikan saat libur","ketikan lebar, makan bergizi gratis dibagikan libur",68,11,51,7
